model1,model2,country1,country2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
Claude,Cohere,US,Canada,0.4544662047267242,0.6527691277013591,-0.7128187300296526,0.9943422867986712
Claude,Deepseek,US,China,0.4730719583866003,0.6858254392642429,-0.7024144784261815,0.9954361741467754
Claude,Doubao,US,China,0.499235392271471,0.7125144448836838,-0.784429001960037,0.9934032585368576
Claude,GPT,US,US,0.5232709240760381,0.7663815519227277,-0.8785412201634487,0.997386072082777
Claude,Gemini,US,US,0.4750324395556853,0.709106688898701,-0.7060499083946891,0.9966464659759332
Claude,Mistral,US,EU,0.2671075863472969,0.4602720090875457,-0.9685927069596616,0.9675774923121496
Claude,Qwen,US,China,0.3853030075453408,0.62159848094227,-0.9474105010296898,0.995895863574808
Cohere,Claude,Canada,US,0.4544662047267242,0.6527691277013591,-0.7128187300296525,0.9943422867986712
Cohere,Deepseek,Canada,China,0.9875205319873129,0.9976200292599086,0.8350681592449207,1.0
Cohere,Doubao,Canada,China,0.9685758926759874,0.9880844680315004,0.8341370045767952,0.9999119239398884
Cohere,GPT,Canada,US,0.8952150652135865,0.993667723771532,-0.0803743594159136,0.9999914244449848
Cohere,Gemini,Canada,US,0.9875285348797135,0.9981700064366126,0.8663403022597685,0.9999914244449848
Cohere,Mistral,Canada,EU,0.5224867393206187,0.9462718533406086,-0.9813420644368964,0.9999346200868252
Cohere,Qwen,Canada,China,0.7215603323610598,0.9613443941969264,-0.6484009751120355,0.9999790091289762
Deepseek,Claude,China,US,0.4730719583866003,0.6858254392642429,-0.7024144784261815,0.9954361741467754
Deepseek,Cohere,China,Canada,0.9875205319873128,0.9976200292599084,0.8350681592449207,1.0
Deepseek,Doubao,China,China,0.9730693507945818,0.9942627179989932,0.7507344872348023,1.0
Deepseek,GPT,China,US,0.9070658591601014,0.9990807702691434,-0.1292623255714813,0.999999865551532
Deepseek,Gemini,China,US,0.9991457073109518,0.9999833062519714,0.9804055496716796,0.999999901477204
Deepseek,Mistral,China,EU,0.5314285991008622,0.9568396875517114,-0.983505833769666,0.999990699334431
Deepseek,Qwen,China,China,0.7275108662230335,0.9900744348400772,-0.6482257947779724,0.9999993688907876
Doubao,Claude,China,US,0.499235392271471,0.7125144448836838,-0.784429001960037,0.9934032585368576
Doubao,Cohere,China,Canada,0.9685758926759874,0.9880844680315004,0.8341370045767953,0.9999119239398884
Doubao,Deepseek,China,China,0.9730693507945818,0.994262717998993,0.7507344872348022,1.0
Doubao,GPT,China,US,0.9111545289466492,0.9913980655651868,0.0691914054717037,0.9999811808845576
Doubao,Gemini,China,US,0.9744381311332347,0.9951598597224895,0.7533280228227108,0.9999811808845576
Doubao,Mistral,China,EU,0.49165110682566837,0.9531146953391116,-0.9594798091494976,0.9999254235230256
Doubao,Qwen,China,China,0.7280529728036487,0.969750328867574,-0.6638557207555611,0.999887099022092
GPT,Claude,US,US,0.5232709240760381,0.7663815519227276,-0.8785412201634486,0.997386072082777
GPT,Cohere,US,Canada,0.8952150652135865,0.993667723771532,-0.0803743594159136,0.9999914244449848
GPT,Deepseek,US,China,0.9070658591601014,0.9990807702691434,-0.1292623255714812,0.999999865551532
GPT,Doubao,US,China,0.9111545289466492,0.9913980655651868,0.0691914054717037,0.9999811808845576
GPT,Gemini,US,US,0.9081558564920251,0.9992253388017552,-0.1306824744561964,1.0
GPT,Mistral,US,EU,0.49271360206755066,0.9049663593897566,-0.9836706749865826,0.9999912900464256
GPT,Qwen,US,China,0.6631559768358662,0.9450829847736968,-0.8348433359683112,0.9999918353172416
Gemini,Claude,US,US,0.47503243955568536,0.709106688898701,-0.706049908394689,0.9966464659759332
Gemini,Cohere,US,Canada,0.9875285348797135,0.9981700064366128,0.8663403022597685,0.9999914244449848
Gemini,Deepseek,US,China,0.9991457073109518,0.9999833062519714,0.9804055496716796,0.999999901477204
Gemini,Doubao,US,China,0.9744381311332347,0.9951598597224895,0.7533280228227108,0.9999811808845576
Gemini,GPT,US,US,0.9081558564920251,0.9992253388017552,-0.1306824744561963,1.0
Gemini,Mistral,US,EU,0.5323015532594672,0.9562387222846565,-0.9831355662909008,0.9999912900464256
Gemini,Qwen,US,China,0.7284401583723359,0.9944088637321488,-0.6478282143673935,1.0
Mistral,Claude,EU,US,0.2671075863472969,0.4602720090875457,-0.9685927069596616,0.9675774923121496
Mistral,Cohere,EU,Canada,0.5224867393206187,0.9462718533406088,-0.9813420644368964,0.9999346200868252
Mistral,Deepseek,EU,China,0.5314285991008623,0.9568396875517116,-0.983505833769666,0.999990699334431
Mistral,Doubao,EU,China,0.49165110682566837,0.9531146953391116,-0.9594798091494976,0.9999254235230256
Mistral,GPT,EU,US,0.49271360206755066,0.9049663593897566,-0.9836706749865828,0.9999912900464254
Mistral,Gemini,EU,US,0.5323015532594672,0.9562387222846565,-0.9831355662909008,0.9999912900464254
Mistral,Qwen,EU,China,0.3800176833558262,0.8260202404849329,-0.949972992376292,0.9992059566250102
Qwen,Claude,China,US,0.3853030075453408,0.62159848094227,-0.94741050102969,0.995895863574808
Qwen,Cohere,China,Canada,0.7215603323610598,0.9613443941969264,-0.6484009751120355,0.9999790091289762
Qwen,Deepseek,China,China,0.7275108662230335,0.9900744348400772,-0.6482257947779724,0.9999993688907876
Qwen,Doubao,China,China,0.7280529728036487,0.9697503288675738,-0.6638557207555611,0.999887099022092
Qwen,GPT,China,US,0.6631559768358662,0.9450829847736966,-0.8348433359683111,0.9999918353172418
Qwen,Gemini,China,US,0.7284401583723359,0.9944088637321488,-0.6478282143673935,1.0
Qwen,Mistral,China,EU,0.3800176833558262,0.8260202404849328,-0.949972992376292,0.9992059566250102
