time,model1,model2,avg_rcoeff,median_rcoeff,min_rcoeff,max_rcoeff
monthly,Claude,Cohere,0.20082188835499123,0.0132055318503975,-0.659441863610158,0.8463871141881844
monthly,Claude,Deepseek,0.2337558559496937,0.0222120733551191,-0.6104842590042705,0.8950322771534369
monthly,Claude,Doubao,0.20791893797869346,0.0517145726353462,-0.784429001960037,0.9042746531373084
monthly,Claude,GPT,0.15796294957903656,0.2758118714539411,-0.8785412201634487,0.8973755160587747
monthly,Claude,Gemini,0.2314392371607056,0.0176469780685428,-0.6131935897440766,0.8943772444081137
monthly,Claude,Mistral,0.24664089835271644,0.0532833767806101,-0.5882211550621718,0.8961764912081099
monthly,Claude,Qwen,0.24631639917996137,0.1088136972443371,-0.6057949117867832,0.8989136909737178
monthly,Cohere,Claude,0.20082188835499123,0.0132055318503975,-0.659441863610158,0.8463871141881844
monthly,Cohere,Deepseek,0.9965048942859854,0.9976200292599086,0.9828021458115678,0.9999210667318432
monthly,Cohere,Doubao,0.9813827302211497,0.9881180502628876,0.9263583228846248,0.9974186125803268
monthly,Cohere,GPT,0.8043924010663818,0.9639942299942902,0.4129995515344511,0.9991510175165578
monthly,Cohere,Gemini,0.9963325965996332,0.9981700064366126,0.9836950465225736,0.9999328521470804
monthly,Cohere,Mistral,0.8056081403230987,0.964216519354836,-0.7163088345505464,0.9965730127350928
monthly,Cohere,Qwen,0.993049482654541,0.99758523856532,0.9613443941969264,0.9998419304791072
monthly,Deepseek,Claude,0.23375585594969372,0.022212073355119,-0.6104842590042705,0.8950322771534369
monthly,Deepseek,Cohere,0.9965048942859854,0.9976200292599084,0.9828021458115678,0.9999210667318432
monthly,Deepseek,Doubao,0.9836714883235821,0.995417621590857,0.921552810057538,0.9997449090895724
monthly,Deepseek,GPT,0.8187282336564924,0.9723119165809958,0.4140129021108921,0.9999329565233256
monthly,Deepseek,Gemini,0.9998380961404372,0.999963279636249,0.9987809242767528,0.999998788625039
monthly,Deepseek,Mistral,0.8117443583130327,0.9658026208673904,-0.665355514125544,0.9992820916255608
monthly,Deepseek,Qwen,0.9984200243775969,0.9999111660517112,0.9900744348400772,0.9999632133632208
monthly,Doubao,Claude,0.20791893797869346,0.0517145726353463,-0.784429001960037,0.9042746531373084
monthly,Doubao,Cohere,0.9813827302211497,0.9881180502628876,0.9263583228846248,0.9974186125803268
monthly,Doubao,Deepseek,0.9836714883235821,0.995417621590857,0.921552810057538,0.9997449090895724
monthly,Doubao,GPT,0.8309799627761411,0.971783559263806,0.4083582055808851,0.9998520043723028
monthly,Doubao,Gemini,0.9848577847362261,0.9946651652351486,0.929427683004796,0.9997157048416184
monthly,Doubao,Mistral,0.8237571526770829,0.9719902000348228,-0.639094853451599,0.9989009772965765
monthly,Doubao,Qwen,0.9843582667795104,0.9962024992210372,0.9218895928232456,0.9998078791888166
monthly,GPT,Claude,0.15796294957903656,0.2758118714539411,-0.8785412201634486,0.8973755160587747
monthly,GPT,Cohere,0.8043924010663815,0.96399422999429,0.412999551534451,0.9991510175165578
monthly,GPT,Deepseek,0.8187282336564924,0.9723119165809958,0.4140129021108922,0.9999329565233256
monthly,GPT,Doubao,0.8309799627761412,0.971783559263806,0.4083582055808851,0.9998520043723028
monthly,GPT,Gemini,0.818313392494145,0.970680641926609,0.4070021781022473,0.999923759636074
monthly,GPT,Mistral,0.704856388000031,0.949275316295249,-0.1310042172240487,0.9981798804660956
monthly,GPT,Qwen,0.8136801736021411,0.9721074380748672,0.3818853015315661,0.9998542390169456
monthly,Gemini,Claude,0.23143923716070566,0.0176469780685429,-0.6131935897440763,0.8943772444081137
monthly,Gemini,Cohere,0.9963325965996332,0.9981700064366128,0.9836950465225734,0.9999328521470804
monthly,Gemini,Deepseek,0.9998380961404372,0.999963279636249,0.9987809242767528,0.999998788625039
monthly,Gemini,Doubao,0.9848577847362261,0.9946651652351486,0.9294276830047964,0.9997157048416184
monthly,Gemini,GPT,0.818313392494145,0.9706806419266092,0.4070021781022473,0.9999237596360736
monthly,Gemini,Mistral,0.8139408440379384,0.9652695705955008,-0.6669010070734055,0.9993359516974198
monthly,Gemini,Qwen,0.9987517750796183,0.99973317788927,0.9935914664337177,0.9999612732726348
monthly,Mistral,Claude,0.24664089835271644,0.0532833767806102,-0.5882211550621718,0.8961764912081099
monthly,Mistral,Cohere,0.8056081403230987,0.964216519354836,-0.7163088345505464,0.9965730127350928
monthly,Mistral,Deepseek,0.8117443583130327,0.9658026208673904,-0.665355514125544,0.9992820916255608
monthly,Mistral,Doubao,0.8237571526770832,0.9719902000348228,-0.639094853451599,0.9989009772965765
monthly,Mistral,GPT,0.704856388000031,0.949275316295249,-0.1310042172240487,0.9981798804660954
monthly,Mistral,Gemini,0.8139408440379384,0.9652695705955008,-0.6669010070734054,0.9993359516974198
monthly,Mistral,Qwen,0.8159477691675814,0.9658813581812116,-0.6785510713842462,0.9992059566250102
monthly,Qwen,Claude,0.24631639917996137,0.1088136972443372,-0.6057949117867832,0.8989136909737178
monthly,Qwen,Cohere,0.993049482654541,0.99758523856532,0.9613443941969264,0.9998419304791072
monthly,Qwen,Deepseek,0.9984200243775969,0.9999111660517112,0.9900744348400772,0.9999632133632208
monthly,Qwen,Doubao,0.9843582667795104,0.996202499221037,0.9218895928232458,0.9998078791888166
monthly,Qwen,GPT,0.8136801736021408,0.9721074380748672,0.3818853015315661,0.9998542390169456
monthly,Qwen,Gemini,0.9987517750796183,0.99973317788927,0.9935914664337177,0.9999612732726348
monthly,Qwen,Mistral,0.8159477691675814,0.9658813581812116,-0.6785510713842462,0.9992059566250102
